State,American Indian or Alaska Native,Asian,"Black or
African American","Hispanic, Latino, or of Spanish Origin",Native Hawaiian or Other Pacific Islander,White,Other,"Multiple
Race/Ethnicity","Unknown
Race/Ethnicity","Non-U.S. Citizen
and Non- Permanent Resident",Total
Connecticut,0,40,26,10,0,165,8,22,22,4,297
Delaware,0,17,8,1,0,17,5,4,4,0,56
District of Columbia,0,1,13,4,1,31,3,6,2,4,65
Maine,0,3,0,0,0,36,0,3,3,1,46
Maryland,0,128,107,15,0,188,14,45,27,16,540
Massachusetts,1,140,48,15,0,330,12,68,23,11,648
New Hampshire,0,3,3,0,0,31,1,6,2,2,48
New Jersey,0,335,87,55,0,281,20,70,66,2,916
New York,0,376,158,91,0,675,29,176,98,15,"1,618"
Pennsylvania,1,149,49,13,0,465,16,64,41,7,805
Rhode Island,0,7,3,3,0,33,0,3,2,1,52
Vermont,0,4,0,1,0,33,1,5,6,1,51
Illinois,0,207,83,52,0,460,10,81,54,7,954
Indiana,0,66,21,5,0,225,5,29,15,0,366
Iowa,0,25,2,2,0,99,0,8,5,0,141
Kansas,0,38,9,4,0,153,6,12,14,0,236
Michigan,0,160,71,8,0,418,55,92,33,5,842
Minnesota,0,45,28,9,0,278,4,35,11,2,412
Missouri,0,58,16,7,0,172,7,24,40,2,326
Nebraska,0,19,3,4,0,112,1,8,4,1,152
North Dakota,1,7,2,0,1,35,1,3,5,0,55
Ohio,0,136,45,12,0,405,21,62,49,5,735
South Dakota,1,1,1,0,0,63,0,7,2,0,75
Wisconsin,0,33,14,7,0,270,2,28,21,0,375
Alabama,1,36,26,1,0,173,2,18,8,2,267
Arkansas,0,26,12,4,0,134,5,10,7,1,199
Florida,0,165,120,242,2,376,22,216,43,3,"1,189"
Georgia,0,148,148,12,0,264,9,54,33,4,672
Kentucky,0,47,16,2,0,236,2,14,13,1,331
Louisiana,0,55,49,5,0,258,1,21,12,1,402
Mississippi,0,16,23,4,0,130,2,8,5,1,189
North Carolina,3,97,68,27,0,254,7,56,20,1,533
Oklahoma,7,30,10,4,0,92,4,32,15,0,194
Puerto Rico,0,0,0,308,0,0,0,38,2,1,349
South Carolina,0,39,26,14,0,202,4,20,13,0,318
Tennessee,1,49,42,8,0,194,8,30,12,3,347
Texas,2,529,179,132,0,637,21,269,74,9,"1,852"
Virginia,0,133,55,18,0,257,12,50,31,7,563
West Virginia,0,19,5,0,0,109,4,5,3,2,147
Alaska,0,4,1,0,0,21,1,5,0,0,32
Arizona,4,80,13,23,1,124,3,52,10,0,310
California,3,"1,021",127,302,2,625,121,322,153,30,"2,706"
Colorado,1,27,17,15,0,166,3,28,16,1,274
Hawaii,0,60,0,1,2,6,0,31,5,1,106
Idaho,0,8,0,2,0,60,0,11,3,0,84
Montana,3,1,0,0,0,49,0,4,4,0,61
Nevada,0,35,6,17,0,63,5,15,7,0,148
New Mexico,1,17,1,34,0,29,3,24,4,0,113
Oregon,4,40,6,5,0,99,3,31,6,0,194
Utah,0,19,1,12,3,168,2,23,11,0,239
Washington,2,95,17,8,0,209,4,56,31,3,425
Wyoming,0,0,0,2,0,27,0,2,1,0,32
