Applicants,American Indian or Alaska Native,Asian,"Black or
African American","Hispanic, Latino, or of Spanish Origin","Native Hawaiian or
Other Pacific Islander",White,Other,"Multiple
Race/Ethnicity","Unknown
Race/Ethnicity",Non-U.S. Citizen and Non-Permanent Resident,Total
MCAT CPBS Mean,124.7,127.2,"124.2","124.9","125.6",126.6,126.2,"126","126.9",127,126.4
MCAT CPBS SD,2.4,2.6,"2.7","2.7","2.4",2.5,2.7,"2.8","2.6",2.9,2.8
MCAT CARS Mean,124.4,126.1,"123.8","124.3","124.5",126.4,125.2,"125.7","126.6",125.4,125.9
MCAT CARS SD,2.5,2.7,"2.6","2.7","2.3",2.5,2.7,"2.7","2.6",2.7,2.7
MCAT BBLS Mean,125.4,127.3,"124.4","125.3","126.1",127.0,126.4,"126.3","127.1",127.3,126.7
MCAT BBLS SD,2.8,2.6,"2.7","2.7","2.4",2.5,2.7,"2.8","2.5",2.8,2.7
MCAT PSBB Mean,125.6,127.7,"125.2","125.7","126.5",127.4,126.9,"126.8","127.7",127.4,127.1
MCAT PSBB SD,2.7,2.6,"2.9","2.9","2.4",2.5,2.8,"2.8","2.5",2.8,2.7
Total MCAT Mean,500.1,508.4,"497.6","500.2","502.7",507.5,504.7,"504.7","508.3",507.1,506.1
Total MCAT SD,8.6,9.0,"9.4","9.5","7.2",8.2,9.2,"9.4","8.4",9.6,9.3
GPA Science Mean,3.27,3.52,"3.15","3.30","3.39",3.56,3.43,"3.41","3.50",3.56,3.48
GPA Science SD,0.50,0.40,"0.49","0.46","0.38",0.37,0.45,"0.45","0.41",0.46,0.43
GPA Non-Science Mean,3.58,3.74,"3.56","3.64","3.64",3.76,3.71,"3.69","3.72",3.73,3.72
GPA Non-Science SD,0.37,0.26,"0.34","0.31","0.33",0.25,0.28,"0.30","0.29",0.30,0.28
GPA Total Mean,3.41,3.62,"3.33","3.44","3.50",3.64,3.55,"3.53","3.60",3.63,3.58
GPA Total SD,0.41,0.32,"0.39","0.37","0.32",0.29,0.35,"0.36","0.33",0.36,0.33
Total Applicants,89,"11,027","4,419","3,350","42","23,469","1,198","5,246","2,641","1,890","53,371"
