Matriculants,American Indian or Alaska Native,Asian,"Black or
African American","Hispanic, Latino, or of Spanish Origin","Native Hawaiian or
Other Pacific Islander",White,Other,"Multiple
Race/Ethnicity","Unknown
Race/Ethnicity",Non-U.S. Citizen and Non-Permanent Resident,Total
"MCAT CPBS Mean ",125.6,128.7,"126.2","126.5","126.8",127.8,127.9,"127.6","128.1",128.6,127.8
MCAT CPBS SD,2,1.9,"2.1","2.2","2.6",2.1,2.0,"2.1","2.1",2.0,2.2
MCAT CARS Mean,125.6,127.4,"125.5","125.5","125.7",127.5,126.4,"126.9","127.7",126.7,127.1
MCAT CARS SD,2.2,2.2,"2.2","2.4","2.2",2.2,2.3,"2.3","2.2",2.2,2.3
MCAT BBLS Mean,126.7,128.7,"126.6","126.9","127.7",128.2,128.0,"127.9","128.4",128.7,128.1
MCAT BBLS SD,2.4,1.9,"2.0","2.1","1.9",2.0,1.9,"2.0","2.0",2.0,2.1
MCAT PSBB Mean,127,129.1,"127.3","127.3","128.5",128.6,128.6,"128.4","128.9",129.0,128.5
MCAT PSBB SD,2.2,1.9,"2.0","2.3","2.4",1.9,1.9,"2.0","1.9",1.9,2.0
Total MCAT Mean,504.8,513.9,"505.7","506.2","508.7",512.1,510.8,"510.7","513.2",513.0,511.5
Total MCAT SD,6.6,5.7,"6.1","6.9","5.5",5.9,5.7,"6.2","6.0",6.2,6.5
GPA Science Mean,3.46,3.71,"3.38","3.53","3.38",3.70,3.67,"3.62","3.69",3.75,3.66
GPA Science SD,0.36,0.26,"0.40","0.34","0.39",0.27,0.30,"0.31","0.30",0.26,0.30
GPA Non-Science Mean,3.72,3.83,"3.67","3.74","3.53",3.83,3.83,"3.79","3.82",3.82,3.81
GPA Non-Science SD,0.21,0.19,"0.29","0.25","0.45",0.20,0.17,"0.22","0.21",0.21,0.22
GPA Total Mean,3.57,3.77,"3.51","3.62","3.46",3.76,3.74,"3.69","3.75",3.78,3.73
GPA Total SD,0.27,0.21,"0.32","0.28","0.42",0.21,0.22,"0.25","0.24",0.23,0.24
Total Matriculants,44,"4,687","1,627","1,412","13","10,184",379,"2,178","1,073",272,"21,869"
