Applicants,American Indian or Alaska Native,Asian,"Black or
African American","Hispanic, Latino, or of Spanish Origin","Native Hawaiian or
Other Pacific Islander",White,Other,"Multiple
Race/Ethnicity","Unknown
Race/Ethnicity","Non‐U.S. Citizen and
Non‐Permanent
Resident",Total
MCAT CPBS Mean,124.7,127.3,"124.3","125.1","125.2",126.7,126.4,"126.1","127.0","127.2",126.5
MCAT CPBS SD,2.7,2.6,"2.7","2.8","3.1",2.5,2.7,"2.8","2.6","2.8",2.8
MCAT CARS Mean,124.5,126.1,"123.9","124.4","124.5",126.4,125.2,"125.7","126.6","125.4",125.9
MCAT CARS SD,2.4,2.7,"2.6","2.7","2.6",2.5,2.7,"2.7","2.5","2.6",2.7
MCAT BBLS Mean,125.1,127.4,"124.7","125.6","125.1",127.1,126.6,"126.5","127.2","127.5",126.8
MCAT BBLS SD,2.6,2.6,"2.7","2.8","2.8",2.4,2.7,"2.7","2.5","2.8",2.7
MCAT PSBB Mean,125.5,127.8,"125.4","126.0","125.9",127.5,127.0,"127.0","127.7","127.5",127.2
MCAT PSBB SD,2.5,2.6,"2.9","2.9","3.0",2.5,2.7,"2.7","2.5","2.8",2.7
Total MCAT Mean,499.9,508.6,"498.3","501.1","500.7",507.7,505.3,"505.2","508.5","507.6",506.4
Total MCAT SD,8.2,8.8,"9.4","9.5","10.1",8.1,9.2,"9.3","8.3","9.4",9.2
GPA Science Mean,3.31,3.53,"3.17","3.32","3.34",3.57,3.45,"3.43","3.51","3.58",3.49
GPA Science SD,0.52,0.40,"0.49","0.46","0.46",0.36,0.45,"0.44","0.40","0.44",0.42
GPA Non‐Science Mean,3.64,3.76,"3.58","3.66","3.68",3.77,3.72,"3.70","3.73","3.75",3.74
GPA Non‐Science SD,0.32,0.25,"0.34","0.30","0.30",0.25,0.29,"0.29","0.27","0.28",0.28
GPA Total Mean,3.44,3.63,"3.35","3.46","3.49",3.66,3.57,"3.55","3.61","3.65",3.60
GPA Total SD,0.41,0.31,"0.39","0.36","0.36",0.29,0.35,"0.35","0.32","0.35",0.33
Total Applicants,73,"11,240","4,363","3,332","41","22,891","1,288","5,314","2,644","1,844","53,030"
