Matriculants,American Indian or Alaska Native,Asian,"Black or African American","Hispanic, Latino, or of Spanish Origin","Native Hawaiian or Other Pacific Islander",White,Other,"Multiple Race/Ethnicity","Unknown Race/Ethnicity","Non‐U.S. Citizen and Non‐Permanent Resident",Total
MCAT CPBS Mean," 125.6"," 128.6"," 126.2"," 126.6","127.2",127.9,128.0,"127.5"," 128.2","128.5",127.8
MCAT CPBS SD,2.3,1.9,"2.1","2.2","2.8",2.1,1.9,"2.2","2.1","2.0",2.2
MCAT CARS Mean,125.4,127.3,"125.4","125.5","125.6",127.4,126.6,"126.9","127.5","126.6",127.0
MCAT CARS SD,2.4,2.2,"2.3","2.4","2.5",2.2,2.3,"2.3","2.2","2.3",2.3
MCAT BBLS Mean,126.3,128.7,"126.6","127.1","126.6",128.2,128.2,"127.9","128.4","128.9",128.1
MCAT BBLS SD,2.2,1.9,"2.0","2.1","1.9",1.9,2.0,"2.1","2.0","1.9",2.0
MCAT PSBB Mean,126.5,129.1,"127.5","127.4","127.8",128.8,128.7,"128.4","128.9","128.9",128.6
MCAT PSBB SD,2,1.8,"2.1","2.3","1.3",1.9,1.8,"2.0","1.8","2.0",2.0
Total MCAT Mean,503.8,513.8,"505.7","506.6","507.3",512.2,511.5,"510.7","512.9","513.0",511.5
Total MCAT SD,6.4,5.6,"6.2","7.0","7.2",5.9,5.8,"6.5","5.8","6.2",6.5
GPA Science Mean,3.42,3.72,"3.39","3.53","3.52",3.71,3.69,"3.62","3.68","3.75",3.66
GPA Science SD,0.43,0.27,"0.39","0.34","0.26",0.27,0.28,"0.32","0.30","0.28",0.31
GPA Non‐Science Mean,3.69,3.84,"3.69","3.75","3.72",3.84,3.84,"3.79","3.82","3.84",3.82
GPA Non‐Science SD,0.28,0.18,"0.28","0.24","0.21",0.19,0.20,"0.23","0.20","0.20",0.21
GPA Total Mean,3.54,3.77,"3.53","3.62","3.62",3.77,3.75,"3.70","3.75","3.79",3.73
GPA Total SD,0.35,0.21,"0.31","0.27","0.18",0.21,0.23,"0.25","0.23","0.22",0.25
Total Matriculants,36,"4,803","1,767","1,524","14","9,944",470,"2,311","1,094","276","22,239"
