Matriculants,American Indian or Alaska Native,Asian,"Black or African American","Hispanic, Latino, or of Spanish Origin","Native Hawaiian or Other Pacific Islander",White,Other,"Multiple Race/Ethnicity","Unknown Race/Ethnicity",Non-U.S. Citizen and Non-Permanent Resident,Total
MCAT CPBS Mean,125.5,128.8,"126.3","126.5","126.7",128,128,"127.6","128.4",128.4,127.9
MCAT CPBS SD,2.8,1.9,"2.1","2.1","1.8",2.0,2.0,"2.1","2.0",2.1,2.2
MCAT CARS Mean,125.4,127.4,"125.4","125.3","126.3",127.4,126.4,"126.8","127.6",126.5,127.0
MCAT CARS SD,2.4,2.2,"2.3","2.4","1.4",2.1,2.3,"2.3","2.1",2.4,2.3
MCAT BBLS Mean,126.3,129.0,"126.7","127.2","126.6",128.4,128.4,"128.0","128.7",128.7,128.2
MCAT BBLS SD,2.4,1.9,"2.1","2.1","2.1",1.9,2.0,"2.0","1.9",1.9,2.1
MCAT PSBB Mean,126.6,129.4,"127.6","127.6","127.8",129.0,128.9,"128.7","129.2",129.0,128.8
MCAT PSBB SD,2.6,1.7,"2.1","2.2","1.5",1.9,1.9,"1.9","1.8",2.0,2.0
Total MCAT Mean,503.8,514.5,"505.9","506.6","507.3",512.7,511.7,"511.0","513.9",512.6,511.9
Total MCAT SD,7.9,5.7,"6.4","6.7","4.8",5.9,5.8,"6.3","5.7",6.3,6.6
GPA Science Mean,3.34,3.73,"3.41","3.55","3.48",3.72,3.68,"3.62","3.72",3.72,3.67
GPA Science SD,0.43,0.26,"0.40","0.33","0.33",0.27,0.31,"0.33","0.29",0.28,0.31
GPA Non-Science Mean,3.66,3.86,"3.71","3.77","3.61",3.85,3.83,"3.81","3.85",3.82,3.83
GPA Non-Science SD,0.28,0.17,"0.26","0.24","0.32",0.19,0.21,"0.21","0.21",0.22,0.21
GPA Total Mean,3.49,3.79,"3.55","3.64","3.56",3.78,3.74,"3.71","3.78",3.76,3.74
GPA Total SD,0.33,0.21,"0.31","0.27","0.26",0.22,0.24,"0.25","0.23",0.24,0.25
