Applicants,American Indian or Alaska Native,Asian,"Black or African American","Hispanic, Latino, or of Spanish Origin","Native Hawaiian or Other Pacific Islander",White,Other,"Multiple Race/Ethnicity","Unknown Race/Ethnicity","Non-U.S. Citizen and Non-Permanent Resident",Total
MCAT CPBS Mean,124.1," 127.4"," 124.0","124.8","125.1",126.7,126.3,"126.1","126.9","127.1",126.4
MCAT CPBS SD,2.6,2.7,"2.8","2.9","2.9",2.6,2.8,"3.0","2.7","3.0",2.9
MCAT CARS Mean,124.4,126.2,"123.7","124.2","124.7",126.4,125.1,"125.7","126.4","125.4",125.8
MCAT CARS SD,2.5,2.7,"2.6","2.8","2.7",2.5,2.8,"2.8","2.6","2.8",2.8
MCAT BBLS Mean,124.7,127.5,"124.3","125.2","125.7",127.1,126.6,"126.4","127.2","127.4",126.8
MCAT BBLS SD,2.4,2.7,"2.9","2.9","2.7",2.6,2.9,"2.9","2.7","3.0",2.9
MCAT PSBB Mean,125.5,128.2,"125.3","125.9","126.5",127.8,127.3,"127.2","127.9","127.6",127.5
MCAT PSBB SD,2.9,2.6,"3.0","3.1","2.8",2.5,2.8,"2.9","2.5","3.0",2.8
Total MCAT Mean,498.7,509.2,"497.4","500.1","502.0",507.9,505.4,"505.4","508.5","507.6",506.5
Total MCAT SD,8.7,9.2,"10.0","10.2","9.8",8.5,9.7,"10.0","8.9","10.2",9.9
GPA Science Mean,3.28,3.58,"3.18","3.33","3.32",3.59,3.50,"3.46","3.56","3.59",3.52
GPA Science SD,0.52,0.39,"0.50","0.46","0.45",0.36,0.43,"0.44","0.38","0.42",0.42
GPA Non-Science Mean,3.66,3.79,"3.60","3.67","3.68",3.80,3.76,"3.73","3.76","3.77",3.76
GPA Non-Science SD,0.29,0.25,"0.35","0.31","0.28",0.25,0.27,"0.29","0.27","0.27",0.28
GPA Total Mean,3.45,3.67,"3.37","3.47","3.46",3.68,3.61,"3.58","3.64","3.67",3.62
GPA Total SD,0.36,0.31,"0.40","0.37","0.35",0.28,0.34,"0.35","0.31","0.33",0.33
Total Applicants,94,"12,736","4,924","3,257","52","22,917","1,386","6,086","1,777","1,959","55,188"
