State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Applicants"
Connecticut,126.9,2.6,126.5,2.7,127.5,2.5,127.6,2.6,"508.5",8.8,3.50,0.37,3.71,0.24,3.60,0.28,533
Delaware,126.0,2.8,125.6,2.8,126.1,2.6,126.9,2.7,"504.6",9.3,3.45,0.43,3.71,0.28,3.56,0.35,100
District of Columbia,126.3,2.7,126.7,2.9,126.7,2.8,127.2,2.9,"506.8",9.7,3.30,0.49,3.62,0.31,3.45,0.36,105
Maine,126.1,2.6,126.1,2.5,126.9,2.5,126.9,2.5,"506.0",8.4,3.55,0.33,3.70,0.26,3.60,0.29,119
Maryland,126.5,2.8,126.1,2.9,127.0,2.8,127.1,2.8,"506.8",9.8,3.45,0.44,3.69,0.29,3.55,0.35,"1,160"
Massachusetts,127.2,2.7,126.7,2.7,127.5,2.6,127.7,2.7,"509.1",9.0,3.52,0.38,3.69,0.27,3.59,0.31,"1,269"
New Hampshire,126.9,2.5,126.8,2.5,127.7,2.3,127.6,2.3,"509.1",7.5,3.53,0.39,3.69,0.29,3.60,0.33,118
New Jersey,126.7,2.8,126.0,2.7,127.0,2.7,127.1,2.8,"506.8",9.4,3.44,0.46,3.70,0.28,3.55,0.35,"1,957"
New York,126.6,2.7,126.0,2.8,126.9,2.8,127.1,2.8,"506.6",9.5,3.45,0.43,3.69,0.28,3.56,0.33,"3,471"
Pennsylvania,126.8,2.6,126.3,2.7,127.1,2.7,127.2,2.6,"507.4",8.9,3.52,0.38,3.74,0.26,3.61,0.30,"1,646"
Rhode Island,126.8,2.7,126.5,2.5,127.4,2.5,127.3,2.4,"507.9",8.2,3.54,0.38,3.74,0.26,3.63,0.31,93
Vermont,126.8,2.3,127.0,2.5,127.0,2.2,127.8,2.4,"508.6",7.5,3.58,0.32,3.70,0.27,3.63,0.26,104
Illinois,126.4,2.7,125.9,2.7,126.6,2.7,126.9,2.6,"505.8",9.0,3.44,0.43,3.71,0.28,3.56,0.34,"2,261"
Indiana,126.5,2.5,125.9,2.7,126.6,2.5,126.8,2.6,"505.8",8.5,3.57,0.40,3.77,0.28,3.65,0.32,826
Iowa,126.5,2.3,126.2,2.4,127.0,2.4,127.2,2.5,"506.9",7.9,3.56,0.37,3.76,0.25,3.65,0.29,386
Kansas,125.7,2.5,125.9,2.5,126.1,2.6,126.4,2.6,"504.0",8.5,3.53,0.38,3.77,0.27,3.63,0.30,577
Michigan,126.3,2.7,125.7,2.7,126.6,2.7,126.9,2.7,"505.5",9.1,3.47,0.43,3.73,0.28,3.59,0.33,"2,066"
Minnesota,126.4,2.5,126.3,2.5,126.7,2.5,127.1,2.5,"506.4",8.2,3.50,0.40,3.74,0.26,3.61,0.30,"1,006"
Missouri,126.3,2.7,126.2,2.6,126.7,2.7,126.8,2.7,"506.0",9.0,3.57,0.38,3.77,0.27,3.66,0.30,724
Nebraska,126.2,2.5,126.1,2.6,126.6,2.4,126.8,2.5,"505.7",8.0,3.53,0.39,3.79,0.28,3.64,0.31,303
North Dakota,125.4,2.4,124.9,2.7,125.4,2.5,125.9,2.7,"501.7",8.3,3.54,0.42,3.80,0.22,3.66,0.31,157
