State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB  SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Applicants"
Connecticut,127.0,2.6,126.5,2.8,127.4,2.6,127.8,2.6,508.6,9.0,3.50,0.37,3.73,0.26,3.60,0.29,615
Delaware,126.0,2.8,125.8,2.6,126.3,3.0,127.0,2.7,505.2,9.4,3.42,0.44,3.70,0.22,3.56,0.28,101
District of Columbia,126.0,2.9,126.0,2.9,126.6,3.0,127.4,3.0,506.0,10.3,3.28,0.47,3.59,0.33,3.42,0.37,103
Maine,126.5,2.4,126.7,2.3,127.2,2.4,127.7,2.2,508.1,7.7,3.54,0.33,3.77,0.21,3.64,0.26,99
Maryland,126.7,2.9,126.1,2.8,126.9,2.8,127.4,2.7,507.1,9.7,3.45,0.44,3.69,0.30,3.55,0.36,"1,173"
Massachusetts,127.2,2.7,126.8,2.8,127.6,2.7,128.1,2.6,509.6,9.1,3.52,0.40,3.70,0.27,3.60,0.32,"1,298"
New Hampshire,126.7,2.8,126.6,2.8,127.0,2.8,127.5,2.6,507.8,9.4,3.56,0.33,3.74,0.28,3.64,0.27,117
New Jersey,126.9,2.7,126.0,2.7,127.1,2.7,127.5,2.7,507.5,9.2,3.46,0.44,3.71,0.27,3.57,0.34,"1,934"
New York,126.7,2.7,126.0,2.8,127.0,2.7,127.4,2.7,507.2,9.4,3.45,0.43,3.69,0.28,3.56,0.33,"3,530"
Pennsylvania,126.9,2.7,126.2,2.6,127.0,2.7,127.5,2.6,507.7,8.9,3.53,0.38,3.76,0.26,3.62,0.30,"1,642"
Rhode Island,126.8,2.9,126.7,2.6,127.2,2.8,127.6,2.6,508.3,9.3,3.51,0.41,3.73,0.27,3.61,0.32,117
Vermont,126.6,2.2,126.9,2.4,127.2,2.2,127.9,2.2,508.5,6.8,3.53,0.37,3.70,0.26,3.61,0.28,104
Illinois,126.4,2.8,125.9,2.8,126.6,2.8,127.1,2.8,505.9,9.5,3.45,0.45,3.72,0.29,3.57,0.35,"2,241"
Indiana,126.7,2.7,126.0,2.6,126.7,2.7,127.0,2.6,506.4,8.8,3.57,0.41,3.79,0.27,3.66,0.32,765
Iowa,126.6,2.3,126.0,2.4,127.0,2.4,127.3,2.4,507.0,7.7,3.59,0.37,3.78,0.23,3.68,0.28,368
Kansas,125.7,2.6,125.8,2.6,126.2,2.6,126.6,2.6,504.4,8.8,3.52,0.43,3.75,0.31,3.62,0.35,524
Michigan,126.3,2.6,125.8,2.6,126.7,2.6,127.2,2.6,505.9,8.8,3.49,0.43,3.74,0.27,3.60,0.33,"1,974"
Minnesota,126.6,2.6,126.3,2.6,126.9,2.5,127.4,2.5,507.2,8.4,3.51,0.41,3.74,0.25,3.61,0.31,997
Missouri,126.2,2.7,126.1,2.5,126.6,2.6,127.2,2.5,506.2,8.6,3.58,0.40,3.77,0.26,3.67,0.31,771
Nebraska,126.4,2.6,125.8,2.6,126.6,2.6,127.1,2.6,506.0,8.6,3.54,0.40,3.78,0.29,3.65,0.32,309
North Dakota,125.1,2.4,125.1,2.3,125.4,2.3,126.2,2.4,501.8,7.6,3.57,0.37,3.78,0.27,3.66,0.30,155
Ohio,126.6,2.6,126.1,2.7,126.7,2.6,127.2,2.6,506.5,8.9,3.51,0.40,3.78,0.25,3.62,0.31,"1,794"
South Dakota,125.7,2.3,125.9,2.5,126.3,2.5,126.6,2.4,504.6,8.0,3.51,0.40,3.79,0.26,3.63,0.30,164
Wisconsin,126.9,2.5,126.3,2.5,127.2,2.5,127.7,2.5,508.0,8.1,3.56,0.38,3.75,0.26,3.64,0.31,827
Alabama,125.9,2.7,125.9,2.6,126.1,2.6,126.6,2.6,504.5,8.6,3.53,0.41,3.76,0.29,3.63,0.33,579
Arkansas,125.2,2.5,125.4,2.7,125.6,2.6,126.2,2.6,502.3,8.6,3.51,0.43,3.77,0.27,3.62,0.33,374
Florida,125.8,2.7,125.4,2.7,126.1,2.7,126.8,2.8,504.1,9.2,3.45,0.43,3.72,0.28,3.56,0.34,"3,493"
Georgia,125.8,2.9,125.5,2.8,126.0,2.8,126.5,2.8,503.9,9.9,3.44,0.44,3.70,0.30,3.55,0.35,"1,616"
Kentucky,125.9,2.6,125.9,2.5,126.2,2.5,126.8,2.4,504.9,8.2,3.53,0.43,3.79,0.28,3.64,0.34,613
Louisiana,125.2,2.6,125.1,2.6,125.7,2.6,126.1,2.5,502.1,8.6,3.47,0.45,3.73,0.31,3.57,0.36,869
Mississippi,124.4,2.6,124.7,2.4,124.9,2.3,125.3,2.4,499.3,7.9,3.46,0.47,3.74,0.33,3.58,0.37,457
North Carolina,126.3,2.9,126.1,2.8,126.6,2.8,127.2,2.8,506.2,9.7,3.44,0.43,3.69,0.29,3.56,0.33,"1,322"
Oklahoma,125.7,2.4,125.7,2.5,126.1,2.5,126.5,2.4,504.0,8.0,3.58,0.39,3.79,0.27,3.67,0.31,446
Puerto Rico,123.4,2.4,122.5,2.3,123.9,2.5,123.4,2.5,493.3,8.1,3.25,0.53,3.68,0.32,3.43,0.41,636
South Carolina,125.2,2.7,125.5,2.6,125.7,2.7,126.3,2.7,502.8,9.0,3.51,0.41,3.73,0.27,3.61,0.32,724
Tennessee,125.7,2.8,125.7,2.7,125.9,2.8,126.5,2.7,503.8,9.4,3.48,0.45,3.73,0.30,3.59,0.35,857
Texas,126.0,2.8,125.6,2.7,126.2,2.7,126.7,2.8,504.5,9.5,3.46,0.43,3.71,0.30,3.57,0.35,"4,895"
Virginia,126.6,2.7,126.2,2.7,126.9,2.7,127.4,2.7,507.1,9.2,3.45,0.41,3.67,0.28,3.55,0.33,"1,407"
West Virginia,125.3,2.6,125.1,2.4,125.6,2.4,125.9,2.7,502.0,8.1,3.51,0.44,3.78,0.30,3.62,0.35,247
Alaska,125.7,2.4,126.3,2.6,126.2,2.6,127.0,2.2,505.3,8.1,3.48,0.37,3.70,0.30,3.57,0.30,95
Arizona,126.0,2.7,125.8,2.6,126.4,2.7,126.8,2.7,505.0,8.9,3.50,0.43,3.76,0.26,3.62,0.32,916
California,127.2,2.6,126.2,2.7,127.4,2.6,127.7,2.6,508.6,9.0,3.46,0.42,3.69,0.28,3.55,0.33,"6,228"
Colorado,126.6,2.6,126.3,2.6,127.0,2.5,127.3,2.6,507.2,8.7,3.50,0.40,3.72,0.26,3.59,0.31,845
Hawaii,126.3,2.8,125.2,2.7,126.5,2.7,126.8,2.7,504.7,9.4,3.49,0.40,3.72,0.31,3.59,0.33,265
Idaho,126.3,2.4,126.2,2.6,126.9,2.4,127.0,2.3,506.4,7.7,3.61,0.34,3.80,0.22,3.70,0.26,201
Montana,125.9,2.4,126.3,2.6,126.4,2.4,126.5,2.5,505.0,8.1,3.50,0.41,3.76,0.23,3.62,0.30,126
Nevada,125.9,2.6,125.5,2.5,126.6,2.6,126.9,2.5,504.8,8.4,3.42,0.44,3.72,0.31,3.54,0.35,341
New Mexico,125.1,2.6,125.1,2.5,125.7,2.5,126.1,2.6,502.0,8.4,3.46,0.42,3.75,0.27,3.60,0.32,265
Oregon,126.8,2.3,126.5,2.5,127.3,2.3,127.7,2.3,508.3,7.4,3.52,0.38,3.74,0.24,3.61,0.29,572
Utah,127.0,2.5,126.3,2.5,127.1,2.6,127.3,2.5,507.7,8.5,3.55,0.37,3.77,0.23,3.65,0.28,632
Washington,126.9,2.6,126.4,2.7,127.1,2.6,127.6,2.5,508.0,8.6,3.46,0.38,3.71,0.26,3.56,0.30,"1,135"
Wyoming,126.2,2.4,126.4,2.9,126.6,2.4,126.9,2.4,506.2,8.0,3.56,0.40,3.73,0.32,3.64,0.34,70
