State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Matriculants"
Connecticut,128.3,1.9,127.8,2.1,128.7,1.8,129.2,1.7,514.1,5.3,3.66,0.28,3.79,0.21,3.72,0.22,282
Delaware,128.0,2.3,127.3,2.4,128.6,2.0,128.9,1.8,512.7,5.2,3.70,0.22,3.77,0.20,3.72,0.20,38
District of Columbia,127.5,2.3,127.0,2.6,128.3,2.3,129.0,2.1,511.8,7.5,3.45,0.40,3.69,0.28,3.55,0.30,47
Maine,127.6,2.1,127.6,2.3,128.2,1.8,128.8,1.8,512.2,6.2,3.60,0.33,3.80,0.19,3.70,0.23,41
Maryland,128.1,2.2,127.3,2.2,128.3,2.0,128.8,1.9,512.5,6.1,3.62,0.32,3.78,0.23,3.69,0.26,528
Massachusetts,128.4,1.9,128.0,2.1,128.8,1.9,129.3,1.7,514.5,5.4,3.66,0.28,3.78,0.23,3.72,0.23,624
New Hampshire,128.3,2.0,128.2,2.1,128.6,1.8,129.2,1.8,514.2,5.1,3.64,0.26,3.81,0.22,3.72,0.20,55
New Jersey,128.4,1.9,127.3,2.2,128.5,1.9,128.9,1.9,513.1,5.8,3.66,0.29,3.80,0.21,3.72,0.23,873
New York,128.1,2.0,127.3,2.3,128.4,1.8,128.8,1.9,512.7,5.7,3.63,0.30,3.77,0.23,3.69,0.24,"1,674"
Pennsylvania,128.3,1.9,127.5,2.1,128.4,1.9,128.9,1.8,513.1,5.4,3.68,0.28,3.82,0.20,3.74,0.22,767
Rhode Island,128.3,1.9,127.8,2.1,128.9,1.9,129.2,1.9,514.2,5.5,3.72,0.21,3.82,0.22,3.77,0.20,58
Vermont,127.8,1.7,127.8,2.0,128.0,1.8,128.9,1.6,512.4,4.4,3.66,0.30,3.77,0.23,3.70,0.23,56
Illinois,127.8,2.2,127.2,2.4,128.0,2.1,128.6,2.1,511.6,6.7,3.63,0.34,3.81,0.22,3.71,0.27,934
Indiana,128.2,1.9,127.3,2.1,128.2,1.9,128.5,1.8,512.2,5.4,3.75,0.26,3.88,0.15,3.81,0.19,379
Iowa,127.9,1.9,127.4,2.0,128.5,1.8,128.6,1.8,512.4,5.2,3.76,0.27,3.88,0.16,3.81,0.21,128
Kansas,127.2,1.9,127.1,2.0,127.9,2.0,128.2,2.0,510.4,5.7,3.72,0.30,3.86,0.22,3.78,0.24,222
Michigan,127.7,2.2,126.9,2.3,128.0,2.1,128.5,2.2,511.1,6.6,3.67,0.32,3.82,0.22,3.73,0.25,811
Minnesota,127.8,2.0,127.3,2.2,128.0,2.1,128.6,1.9,511.6,6.0,3.67,0.29,3.82,0.18,3.74,0.22,418
Missouri,127.7,2.2,127.2,2.2,128.0,2.1,128.5,2.0,511.4,6.6,3.75,0.26,3.85,0.20,3.80,0.21,332
Nebraska,127.8,2.0,127.1,2.2,128.0,1.9,128.5,1.8,511.5,5.6,3.72,0.29,3.85,0.21,3.78,0.23,145
North Dakota,126.5,1.9,126.1,1.9,126.9,1.5,127.7,1.7,507.1,4.6,3.76,0.28,3.84,0.25,3.80,0.24,53
Ohio,127.9,2.1,127.1,2.4,127.9,2.1,128.5,2.0,511.4,6.5,3.68,0.30,3.86,0.19,3.75,0.23,825
South Dakota,126.8,2.2,127.1,2.2,127.7,2.1,127.9,1.7,509.4,6.0,3.68,0.31,3.82,0.25,3.74,0.26,80
Wisconsin,127.9,2.0,127.2,2.2,128.2,2.0,128.7,2.0,512.1,5.9,3.71,0.28,3.83,0.20,3.76,0.23,373
Alabama,127.0,2.3,126.7,2.2,127.3,2.1,127.7,2.1,508.8,6.5,3.71,0.30,3.86,0.20,3.77,0.24,265
Arkansas,126.4,2.0,126.7,2.2,126.8,2.1,127.5,1.9,507.5,5.6,3.65,0.34,3.84,0.23,3.73,0.27,178
Florida,127.6,2.1,126.7,2.3,127.8,2.0,128.6,1.9,510.7,6.2,3.67,0.30,3.82,0.21,3.74,0.24,"1,189"
Georgia,127.3,2.3,126.8,2.4,127.6,2.1,128.2,2.1,510.0,6.9,3.63,0.33,3.80,0.21,3.71,0.25,654
Kentucky,126.9,2.2,126.7,2.3,127.3,2.0,127.7,2.1,508.5,6.5,3.70,0.30,3.87,0.18,3.77,0.23,360
Louisiana,126.7,2.0,126.3,2.3,127.3,1.9,127.5,1.9,507.8,5.8,3.65,0.36,3.81,0.25,3.71,0.29,391
Mississippi,125.7,2.2,125.6,1.9,126.1,1.9,126.4,2.0,503.8,5.5,3.69,0.29,3.88,0.20,3.77,0.23,185
North Carolina,127.9,2.2,127.3,2.3,128.1,2.1,128.7,2.0,512.0,6.6,3.61,0.34,3.77,0.23,3.68,0.27,537
Oklahoma,127.0,2.0,126.9,2.1,127.3,1.9,127.7,1.8,508.9,5.4,3.72,0.26,3.87,0.17,3.79,0.21,187
Puerto Rico,124.9,2.0,123.6,2.1,125.5,1.8,124.9,2.1,499.0,5.7,3.50,0.37,3.77,0.24,3.62,0.29,304
South Carolina,126.8,2.2,127.0,2.0,127.4,1.9,128.0,1.9,509.2,5.6,3.68,0.31,3.81,0.22,3.74,0.24,326
Tennessee,127.3,2.2,127.1,2.1,127.7,2.0,128.1,2.0,510.2,6.3,3.66,0.33,3.80,0.24,3.72,0.27,355
Texas,127.7,2.1,127.1,2.2,128.0,2.0,128.6,1.9,511.4,6.1,3.70,0.29,3.82,0.22,3.77,0.22,"1,720"
Virginia,128.1,2.0,127.5,2.3,128.3,1.9,129.0,1.8,512.9,6.0,3.61,0.33,3.76,0.24,3.68,0.27,541
West Virginia,126.7,2.1,125.8,2.3,126.7,2.0,127.2,2.2,506.4,6.2,3.67,0.32,3.83,0.26,3.74,0.27,140
Alaska,126.8,2.1,126.9,2.4,127.7,2.2,128.1,1.9,509.4,6.6,3.65,0.27,3.73,0.32,3.68,0.27,41
Arizona,127.6,2.2,127.0,2.2,128.0,2.2,128.5,2.2,511.1,6.6,3.71,0.28,3.84,0.18,3.77,0.22,300
California,128.5,1.9,127.3,2.3,128.7,1.9,129.1,1.8,513.6,5.8,3.64,0.29,3.78,0.21,3.69,0.24,"2,603"
Colorado,128.0,2.0,127.5,2.3,128.4,1.9,129.0,1.9,512.9,5.7,3.69,0.26,3.81,0.19,3.75,0.21,300
Hawaii,128.2,1.9,126.6,2.4,128.2,2.0,128.5,1.9,511.5,6.1,3.69,0.26,3.81,0.20,3.74,0.21,101
Idaho,127.1,2.2,127.2,2.2,127.8,2.2,128.0,1.9,510.1,6.3,3.74,0.30,3.84,0.21,3.78,0.24,75
Montana,126.6,2.3,126.9,2.3,127.1,2.2,127.4,2.2,508.1,6.5,3.67,0.30,3.84,0.19,3.74,0.24,57
Nevada,127.4,2.1,126.5,2.3,128.1,1.8,128.2,2.0,510.1,5.8,3.65,0.33,3.80,0.27,3.71,0.28,140
New Mexico,126.3,2.2,125.9,2.3,126.8,2.2,127.1,2.3,506.1,6.8,3.65,0.30,3.83,0.22,3.74,0.24,126
Oregon,127.9,2.0,127.5,2.2,128.3,2.0,128.9,1.7,512.6,5.8,3.67,0.30,3.83,0.16,3.74,0.22,205
Utah,128.5,2.0,127.4,2.2,128.7,2.0,128.8,2.0,513.4,6.1,3.74,0.24,3.85,0.17,3.79,0.19,212
Washington,128.0,2.2,127.4,2.3,128.3,2.0,128.7,1.9,512.4,6.3,3.61,0.31,3.80,0.20,3.69,0.24,448
Wyoming,127.3,1.7,127.9,2.3,128.0,2.0,128.2,1.9,511.3,5.5,3.75,0.23,3.83,0.25,3.78,0.22,29
