State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB  SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Matriculants"
Connecticut,128.2,1.9,127.5,2.2,128.7,1.8,129.2,1.8,"513.6",5.5,3.66,0.29,3.81,0.20,3.72,0.23,"291"
Delaware,128.7,2.3,127.0,2.2,128.8,2.1,129.2,1.9,"513.7",7.3,3.75,0.28,3.86,0.18,3.80,0.22,"48"
District of Columbia,126.9,2.2,127.2,2.3,127.6,2.1,129.0,1.8,"510.6",6.2,3.43,0.37,3.65,0.28,3.53,0.29,"50"
Maine,128.5,1.9,127.8,2.0,129.3,1.9,129.9,1.6,"515.5",5.1,3.68,0.32,3.81,0.21,3.75,0.23,"35"
Maryland,128.2,2.1,127.3,2.4,128.5,2.1,128.9,2.0,"512.9",6.5,3.62,0.33,3.80,0.21,3.70,0.25,"577"
Massachusetts,128.6,1.9,127.8,2.1,129.0,1.8,129.5,1.7,"514.9",5.7,3.70,0.29,3.80,0.20,3.74,0.23,"658"
New Hampshire,128.1,1.9,127.5,1.9,128.8,1.5,129.7,1.5,"514.2",4.2,3.72,0.25,3.80,0.21,3.76,0.22,"52"
New Jersey,128.4,1.9,127.2,2.1,128.7,1.8,129.1,1.7,"513.4",5.5,3.67,0.31,3.82,0.20,3.74,0.24,"931"
New York,128.2,2.1,127.1,2.3,128.6,1.9,129.1,1.8,"513.0",6.1,3.63,0.31,3.78,0.23,3.70,0.25,"1,646"
Pennsylvania,128.3,2.0,127.3,2.2,128.7,1.8,129.2,1.8,"513.5",5.6,3.69,0.29,3.83,0.20,3.75,0.23,"805"
Rhode Island,128.0,1.9,127.4,2.1,128.3,1.9,129.0,1.9,"512.6",5.8,3.70,0.29,3.85,0.15,3.77,0.20,"63"
Vermont,127.8,1.8,128.1,1.8,128.3,2.0,128.8,1.9,"513.0",5.3,3.67,0.31,3.72,0.23,3.70,0.25,"43"
Illinois,127.9,2.1,127.0,2.2,128.2,2.0,129.0,1.9,"512.1",6.3,3.68,0.32,3.84,0.19,3.75,0.24,"895"
Indiana,128.1,2.0,127.2,2.2,128.4,1.8,128.9,1.7,"512.7",5.6,3.76,0.25,3.89,0.18,3.82,0.20,"410"
Iowa,128.5,1.9,127.3,2.1,128.6,1.9,129.2,1.7,"513.8",5.5,3.75,0.26,3.87,0.17,3.81,0.20,"136"
Kansas,127.3,2.1,127.0,2.2,127.9,1.9,128.5,1.9,"510.7",6.0,3.78,0.24,3.90,0.19,3.83,0.20,"231"
Michigan,127.7,2.3,126.7,2.3,128.1,2.1,128.7,2.0,"511.3",6.8,3.67,0.33,3.84,0.20,3.75,0.25,"817"
Minnesota,127.6,2.2,127.1,2.3,128.1,2.1,128.8,2.0,"511.6",6.6,3.67,0.28,3.84,0.19,3.74,0.22,"403"
Missouri,127.7,2.2,127.1,2.2,128.0,2.1,128.6,2.0,"511.3",6.8,3.76,0.25,3.88,0.15,3.82,0.19,"356"
Nebraska,127.8,1.9,126.8,2.0,128.2,1.7,128.5,2.0,"511.4",5.0,3.76,0.24,3.92,0.11,3.83,0.17,"142"
North Dakota,126.9,2.1,125.6,2.1,127.4,1.8,127.8,1.9,"507.7",6.1,3.79,0.24,3.88,0.22,3.83,0.22,"46"
Ohio,127.9,2.3,127.0,2.3,128.2,2.0,128.8,2.1,"511.9",6.8,3.66,0.33,3.86,0.20,3.74,0.25,"825"
South Dakota,126.8,2.5,126.4,2.2,127.4,2.3,127.9,2.3,"508.4",7.4,3.66,0.36,3.87,0.18,3.76,0.26,"66"
Wisconsin,127.7,2.0,126.8,2.3,128.1,2.0,128.7,1.9,"511.2",6.2,3.67,0.29,3.84,0.19,3.74,0.22,"384"
Alabama,127.1,2.3,126.4,2.2,127.5,2.1,128.1,2.1,"509.0",6.5,3.70,0.31,3.87,0.20,3.78,0.25,"280"
Arkansas,126.9,2.1,126.7,2.1,127.5,1.9,128.2,1.9,"509.3",5.8,3.75,0.27,3.88,0.18,3.81,0.21,"184"
Florida,127.8,2.1,126.8,2.3,128.2,2.0,128.9,1.9,"511.7",6.2,3.70,0.29,3.84,0.20,3.76,0.22,"1,244"
Georgia,127.2,2.3,126.4,2.5,127.6,2.2,128.3,2.2,"509.5",7.5,3.63,0.34,3.82,0.21,3.71,0.25,"744"
Kentucky,126.6,2.0,126.5,2.3,127.1,2.1,127.9,2.1,"508.2",6.5,3.67,0.34,3.87,0.22,3.75,0.26,"327"
Louisiana,126.5,2.1,126.1,2.1,127.1,2.0,127.6,2.0,"507.3",6.0,3.59,0.41,3.80,0.26,3.67,0.32,"382"
Mississippi,126.5,2.2,126.1,2.3,126.8,2.1,127.5,2.1,"506.8",6.6,3.68,0.38,3.86,0.24,3.76,0.29,"193"
North Carolina,127.8,2.2,127.0,2.3,128.0,2.1,128.7,2.0,"511.5",6.8,3.59,0.36,3.80,0.20,3.69,0.26,"541"
Oklahoma,127.2,2.1,126.8,2.2,127.5,2.1,128.5,1.9,"509.9",5.9,3.74,0.28,3.89,0.18,3.80,0.21,"193"
Puerto Rico,125.4,2.1,123.7,2.2,126.0,2.2,126.0,2.2,"501.1",6.5,3.59,0.34,3.85,0.19,3.70,0.25,"345"
South Carolina,126.9,2.2,126.8,2.2,127.6,2.0,128.4,1.8,"509.7",5.9,3.67,0.35,3.81,0.27,3.73,0.29,"349"
Tennessee,127.5,2.2,126.7,2.3,127.9,2.2,128.4,2.0,"510.4",6.7,3.68,0.35,3.85,0.20,3.76,0.27,"369"
Texas,128.0,2.1,127.0,2.3,128.3,2.0,128.9,1.9,"512.2",6.3,3.71,0.30,3.85,0.19,3.78,0.23,"1,931"
Virginia,128.0,2.1,127.3,2.2,128.4,2.0,129.2,1.7,"512.9",6.1,3.62,0.32,3.78,0.23,3.69,0.27,"591"
West Virginia,126.5,2.0,126.0,2.3,127.0,2.2,127.6,2.3,"507.1",6.8,3.66,0.35,3.84,0.26,3.73,0.28,"139"
Alaska,127.1,2.9,127.2,2.5,127.8,2.5,128.9,2.6,"510.9",8.9,3.53,0.43,3.77,0.29,3.62,0.35,"33"
