State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB  SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Applicants",,
Connecticut,127.1,2.8,126.4,2.7,,127.6,2.6,128.3,"2.5",509.4,9.1,3.55,0.41,3.76,0.26,3.64,"0.31",540,
Delaware,126.5,2.7,125.9,2.4,,126.6,2.7,127.8,"2.6",506.8,9.2,3.60,0.37,3.82,0.21,3.70,"0.28",117,
District of Columbia,126.4,3.3,126.1,3.0,,126.9,3.4,127.8,"3.2",507.2,11.4,3.39,0.47,3.61,0.35,3.48,"0.38",96,
Maine,126.7,2.6,126.2,2.6,,127.2,2.6,127.6,"2.8",507.7,8.6,3.55,0.33,3.76,0.22,3.65,"0.26",107,
Maryland,126.7,2.9,125.9,2.9,,127.0,2.9,127.7,"2.9",507.4,10.2,3.45,0.48,3.73,0.30,3.57,"0.38","1,231",
Massachusetts,127.4,2.8,126.7,2.7,,127.8,2.8,128.5,"2.6",510.4,9.3,3.57,0.37,3.75,0.25,3.65,"0.30","1,478",
New Hampshire,127.1,2.6,126.8,2.5,,127.4,2.8,128.1,"2.5",509.4,8.7,3.55,0.40,3.73,0.29,3.63,"0.33",135,
New Jersey,127.0,2.9,126.0,2.8,,127.2,2.9,127.9,"2.8",508.1,9.8,3.52,0.44,3.76,0.27,3.63,"0.34","2,021",
New York,126.7,3.0,125.9,2.9,,127.0,3.0,127.7,"2.9",507.3,10.3,3.49,0.44,3.73,0.28,3.60,"0.34","3,662",
Pennsylvania,126.7,2.8,126.0,2.7,,127.1,2.8,127.6,"2.8",507.5,9.6,3.55,0.43,3.79,0.24,3.65,"0.32","1,672",
Rhode Island,127.1,2.8,126.6,2.8,,127.3,2.8,128.5,"2.8",509.6,9.6,3.57,0.36,3.80,0.21,3.67,"0.27",125,
Vermont,126.8,2.7,126.5,2.8,,127.6,2.7,128.0,"2.4",508.9,9.0,3.48,0.44,3.71,0.26,3.58,"0.34",101,
Central,Illinois,126.5,2.9,125.8,2.7,,126.8,2.9,"127.6",2.8,506.7,9.8,3.51,0.44,3.77,0.27,"3.63",0.34,"2,197"
Indiana,126.5,2.7,125.9,2.6,,126.5,2.6,127.3,"2.6",506.2,8.9,3.62,0.39,3.83,0.24,3.71,"0.29",868,
Iowa,127.1,2.6,126.2,2.5,,127.5,2.5,128.2,"2.4",509.0,8.2,3.62,0.35,3.82,0.22,3.71,"0.27",334,
Kansas,125.9,2.7,125.7,2.7,,126.4,2.7,126.9,"2.7",504.9,9.0,3.61,0.38,3.79,0.29,3.68,"0.32",497,
Michigan,126.4,2.8,125.7,2.7,,126.7,2.8,127.5,"2.7",506.2,9.4,3.53,0.42,3.77,0.26,3.64,"0.33","2,037",
Minnesota,126.6,2.7,126.3,2.7,,127.1,2.7,127.8,"2.5",507.7,8.9,3.54,0.39,3.76,0.27,3.64,"0.31","1,015",
Missouri,126.2,2.8,126.0,2.7,,126.8,2.7,127.4,"2.8",506.3,9.3,3.61,0.38,3.81,0.25,3.70,"0.29",825,
Nebraska,126.3,2.4,125.6,2.5,,126.8,2.5,127.2,"2.6",505.9,8.2,3.62,0.35,3.83,0.25,3.71,"0.28",268,
North Dakota,124.8,2.8,124.8,2.7,,125.0,2.8,125.9,"3.1",500.5,9.9,3.50,0.39,3.73,0.33,3.60,"0.33",100,
Ohio,126.6,2.8,125.9,2.7,,126.7,2.8,127.5,"2.7",506.7,9.4,3.54,0.42,3.80,0.27,3.65,"0.33","1,721",
South Dakota,125.8,2.5,125.5,2.1,,126.2,2.3,127.1,"2.2",504.6,7.4,3.61,0.39,3.82,0.30,3.70,"0.33",148,
Wisconsin,126.8,2.7,126.1,2.6,,127.0,2.6,127.9,"2.6",507.8,8.9,3.57,0.38,3.78,0.25,3.66,"0.30",831,
South,Alabama,125.8,2.8,125.6,2.7,,126.3,2.8,"127.0",2.7,504.7,9.4,3.59,0.41,3.81,0.26,"3.69",0.32,647
Arkansas,125.2,2.6,125.1,2.7,,125.5,2.7,126.4,"2.7",502.1,9.0,3.58,0.40,3.79,0.28,3.67,"0.32",367,
Florida,125.9,2.9,125.3,2.7,,126.2,2.9,127.1,"2.9",504.5,9.7,3.48,0.43,3.76,0.28,3.60,"0.34","3,595",
Georgia,125.7,3.0,125.3,2.8,,126.0,3.0,126.8,"2.9",503.9,10.2,3.48,0.44,3.74,0.30,3.59,"0.35","1,914",
Kentucky,125.5,2.8,125.4,2.6,,125.8,2.8,126.5,"2.7",503.2,9.2,3.55,0.39,3.82,0.26,3.66,"0.30",633,
Louisiana,125.0,2.7,125.2,2.7,,125.6,2.7,126.4,"2.8",502.2,9.4,3.47,0.46,3.75,0.32,3.58,"0.37",847,
Mississippi,124.4,2.8,124.6,2.6,,124.9,2.9,125.5,"2.9",499.4,9.6,3.48,0.45,3.77,0.31,3.61,"0.36",454,
North Carolina,126.4,2.9,126.0,2.8,,126.7,2.9,127.5,"2.8",506.6,9.9,3.46,0.43,3.71,0.30,3.57,"0.34","1,429",
Oklahoma,125.6,2.8,125.5,2.6,,126.0,2.6,126.9,"2.6",504.1,8.9,3.60,0.41,3.83,0.26,3.71,"0.31",407,
Puerto Rico,123.4,2.7,122.4,2.5,,123.8,2.8,123.9,"3.0",493.6,9.5,3.37,0.47,3.75,0.27,3.53,"0.36",604,
