State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB  SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Applicants",
Connecticut,126.8,3.1,126.6,2.8,,127.3,2.9,128.2,"2.9",508.8,10.2,3.56,0.43,3.76,0.28,3.65,"0.33",542
Delaware,126.1,2.9,125.6,2.8,,126.6,3.0,127.1,"2.9",505.4,10.2,3.55,0.42,3.80,0.27,3.66,"0.34",105
District of Columbia,126.7,3.3,126.4,3.1,,126.7,3.0,128.0,"2.9",507.9,10.7,3.33,0.53,3.61,0.39,3.47,"0.43",96
Maine,126.8,2.5,127.5,2.4,,126.9,2.4,127.8,"2.6",508.9,7.9,3.68,0.28,3.79,0.27,3.71,"0.27",75
Maryland,126.7,3.1,126.0,2.9,,126.8,3.0,127.7,"2.9",507.3,10.4,3.49,0.46,3.75,0.28,3.60,"0.36","1,270"
Massachusetts,127.5,2.8,126.7,2.7,,127.7,2.7,128.5,"2.6",510.4,9.2,3.58,0.38,3.77,0.23,3.67,"0.30","1,380"
New Hampshire,127.5,2.7,127.0,2.7,,127.4,2.7,128.5,"2.5",510.5,8.6,3.67,0.36,3.80,0.22,3.72,"0.27",109
New Jersey,126.9,3.0,126.0,2.8,,127.0,3.0,127.8,"2.8",507.7,10.1,3.54,0.44,3.78,0.25,3.65,"0.33","1,911"
New York,126.6,3.0,125.8,2.9,,126.8,3.0,127.6,"2.9",506.8,10.4,3.50,0.44,3.74,0.28,3.61,"0.34","3,521"
Pennsylvania,126.7,2.9,126.0,2.6,,126.9,2.8,127.7,"2.8",507.3,9.6,3.57,0.42,3.80,0.26,3.67,"0.33","1,566"
Rhode Island,127.1,3.0,126.7,2.4,,127.6,3.0,128.5,"2.8",509.8,9.8,3.58,0.39,3.77,0.26,3.66,"0.30",102
Vermont,127.4,2.4,127.1,2.3,,127.8,2.3,128.3,"2.3",510.6,7.5,3.53,0.41,3.71,0.27,3.61,"0.32",85
Illinois,126.4,2.8,125.8,2.8,,126.6,2.8,127.6,"2.7",506.4,9.5,3.54,0.42,3.79,0.27,3.64,"0.33","2,030"
Indiana,126.5,2.7,126.0,2.7,,126.6,2.6,127.3,"2.6",506.4,8.8,3.63,0.37,3.82,0.26,3.72,"0.30",792
Iowa,126.8,2.6,126.3,2.5,,127.1,2.5,127.8,"2.5",508.0,8.3,3.62,0.35,3.81,0.23,3.71,"0.27",328
Kansas,125.7,2.8,125.6,2.7,,126.2,2.7,127.0,"2.7",504.6,9.4,3.64,0.38,3.82,0.25,3.72,"0.29",465
Michigan,126.3,2.9,125.7,2.7,,126.6,2.8,127.4,"2.7",506.0,9.5,3.56,0.41,3.80,0.25,3.67,"0.32","1,888"
Minnesota,126.6,2.7,126.1,2.7,,126.9,2.6,127.7,"2.6",507.3,8.9,3.58,0.39,3.80,0.24,3.68,"0.30",975
Missouri,126.1,3.0,126.0,2.7,,126.5,2.9,127.3,"2.9",505.9,10.0,3.60,0.40,3.79,0.26,3.69,"0.31",740
Nebraska,126.7,2.4,126.3,2.3,,127.1,2.4,127.7,"2.3",507.8,7.4,3.70,0.30,3.88,0.17,3.78,"0.22",270
North Dakota,124.9,2.9,124.7,2.5,,125.3,2.9,126.2,"2.8",501.0,9.6,3.58,0.41,3.78,0.33,3.67,"0.35",116
Ohio,126.6,2.9,126.0,2.7,,126.7,2.8,127.6,"2.7",506.9,9.6,3.56,0.41,3.81,0.26,3.66,"0.33","1,581"
South Dakota,125.7,2.4,125.8,2.4,,126.2,2.3,126.7,"2.5",504.4,8.0,3.58,0.45,3.81,0.29,3.68,"0.34",135
Wisconsin,126.8,2.6,126.3,2.6,,127.0,2.6,127.9,"2.5",507.9,8.4,3.59,0.38,3.80,0.25,3.68,"0.30",787
Alabama,125.6,2.8,125.6,2.9,,126.0,2.8,126.8,"2.8",504.1,9.6,3.60,0.41,3.82,0.26,3.69,"0.32",634
Arkansas,125.0,3.0,125.1,2.8,,125.3,2.9,126.2,"2.9",501.7,10.0,3.54,0.44,3.78,0.30,3.65,"0.34",337
Florida,125.9,2.9,125.4,2.7,,126.2,2.9,127.2,"2.8",504.7,9.8,3.52,0.42,3.77,0.27,3.63,"0.33","3,508"
Georgia,125.6,3.0,125.3,2.8,,125.9,3.0,126.8,"2.9",503.7,10.1,3.49,0.44,3.74,0.30,3.60,"0.35","1,825"
Kentucky,125.3,2.8,125.5,2.7,,125.7,2.9,126.5,"2.7",503.0,9.5,3.56,0.40,3.84,0.25,3.68,"0.30",628
Louisiana,125.0,2.7,125.2,2.7,,125.6,2.7,126.4,"2.7",502.3,9.2,3.52,0.43,3.78,0.30,3.63,"0.34",816
Mississippi,124.6,2.7,124.9,2.7,,125.1,2.8,125.9,"2.9",500.4,9.5,3.53,0.45,3.79,0.29,3.65,"0.35",400
North Carolina,126.2,3.0,126.1,2.9,,126.5,2.9,127.5,"2.9",506.2,10.2,3.48,0.43,3.74,0.28,3.60,"0.33","1,377"
Oklahoma,125.4,2.9,125.5,2.8,,125.8,2.8,126.5,"2.9",503.1,9.7,3.62,0.43,3.84,0.27,3.72,"0.34",364
Puerto Rico,123.2,2.7,122.4,2.5,,123.6,2.8,123.8,"3.0",493.1,9.7,3.36,0.47,3.77,0.27,3.54,"0.36",558
